Drawing Strategy:
;2;3;4;5;6;7;8;9;10;11;

2/2;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
2/12;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
3/3;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
3/13;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
4/4;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
4/14;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
5/5;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
5/15;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
6/6;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
6/16;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
7/7;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
7/17;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
8/8;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
8/18;0.000000%;0.000000%;0.000000%;0.000000%;100.000000%;0.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
9/9;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
9/19;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
10/10;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
10/20;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
11/11;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
11/21;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
12/12;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
13/13;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;100.000000%;100.000000%;100.000000%;100.000000%;100.000000%;
14/14;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;100.000000%;100.000000%;0.000000%;0.000000%;100.000000%;
15/15;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;100.000000%;100.000000%;0.000000%;100.000000%;
16/16;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;100.000000%;
17/17;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;100.000000%;0.000000%;0.000000%;0.000000%;100.000000%;
18/18;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
19/19;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
20/20;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
21/21;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
Double Down Strategy:
;2;3;4;5;6;7;8;9;10;11;

2/2;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
2/12;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
3/3;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
3/13;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;
