found my situation
Hard hands strategy:
;2;3;4;5;6;7;8;9;10;11;
2/2;H;H;H;H;H;H;H;H;H;H;
3/3;H;H;H;H;H;H;H;H;H;H;
4/4;H;H;H;H;H;H;H;H;H;H;
5/5;H;H;H;H;H;H;H;H;H;H;
6/6;H;H;H;H;H;H;H;H;H;H;
7/7;H;H;H;H;H;H;H;H;H;H;
8/8;H;H;H;H;H;H;H;H;H;H;
9/9;D;D;D;D;D;H;H;H;H;H;
10/10;D;D;D;D;D;D;D;D;H;H;
11/11;D;D;D;D;D;D;D;D;D;H;
12/12;S;H;S;S;S;H;H;H;H;H;
13/13;S;S;S;S;S;H;H;H;H;H;
14/14;S;S;S;S;S;H;H;H;H;H;
15/15;S;S;S;S;S;H;H;H;H;H;
16/16;S;S;S;S;S;H;H;H;S;H;
17/17;S;S;S;S;S;S;S;S;S;S;
18/18;S;S;S;S;S;S;S;S;S;S;
19/19;S;S;S;S;S;S;S;S;S;S;
20/20;S;S;S;S;S;S;S;S;S;S;
21/21;S;S;S;S;S;S;S;S;S;S;
Soft hands strategy:
;2;3;4;5;6;7;8;9;10;11;
2/12;H;H;H;H;D;H;H;H;H;H;
3/13;H;H;H;D;D;H;H;H;H;H;
4/14;H;H;H;D;D;H;H;H;H;H;
5/15;H;H;D;D;D;H;H;H;H;H;
6/16;H;D;D;D;D;H;H;H;H;H;
7/17;D;D;D;D;D;H;H;H;H;H;
8/18;S;D;D;D;D;S;S;H;H;H;
9/19;S;S;S;S;D;S;S;S;S;S;
10/20;S;S;S;S;S;S;S;S;S;S;
11/21;S;S;S;S;S;S;S;S;S;S;
Splitting Strategy:
;2;3;4;5;6;7;8;9;10;11;
2;P;P;P;P;P;P;-;-;-;-;
3;-;P;P;P;P;P;P;-;-;-;
4;-;-;P;-;P;-;-;-;-;-;
5;-;-;-;-;-;-;-;-;-;-;
6;P;P;P;P;P;-;-;-;-;-;
7;P;P;P;P;P;P;-;-;-;-;
8;P;P;P;P;P;P;P;P;-;-;
9;P;P;P;P;P;-;P;P;-;-;
10;-;-;-;P;P;-;-;-;-;-;
11;P;P;P;P;P;P;P;P;P;P;
